slug,category,menu_name,description,price,image
189599,Breakfast,Greek Yogurt Parfait,"Creamy, organic vanilla bean Greek yogurt with fresh berries and your choice of toppings.",5.2,tucson/images/189599/GreekYogurtParfait_main.jpg
189599,Breakfast,Fruit Cup,"A nutritious fruit mix made with chopped pieces of red and green apples, mandarin orange segments, fresh strawberry slices, and blueberries, served chilled. Prepared fresh daily.",4.5,tucson/images/189599/FruitCup_main.jpg
189599,Breakfast,Breakfast Filets,,2.15,tucson/images/189599/BreakfastFilets_main.jpg
189599,Build your own Family Meal,30 ct Chick-fil-A® Nuggets,"Bite-sized pieces of boneless chicken breast, seasoned to perfection, freshly breaded and pressure cooked in 100% refined peanut oil. Available with choice of dipping sauce.",19.1,tucson/images/189599/30ctChick-fil-A®Nuggets_main.jpg
189599,Build your own Family Meal,Gallon Freshly-Brewed Iced Tea Sweetened,Freshly-brewed each day from a blend of tea leaves. Available sweetened with real cane sugar or unsweetened.,7.8,tucson/images/189599/GallonFreshly-BrewedIcedTeaSweetened_main.jpg
189599,Build your own Family Meal,Gallon Freshly-Brewed Iced Tea Unsweetened,Freshly-brewed each day from a premium blend of tea leaves.,7.8,tucson/images/189599/GallonFreshly-BrewedIcedTeaUnsweetened_main.jpg
189599,Build your own Family Meal,Gallon Chick-fil-A® Lemonade,"Freshly prepared at each Chick-fil-A Restaurant using simple ingredients:  real lemon juice—not from concentrate, sugar, and water. Diet Lemonade is sweetened with Splenda® No Calorie Sweetener.",14.95,tucson/images/189599/GallonChick-fil-A®Lemonade_main.jpg
189599,Build your own Family Meal,Gallon Chick-fil-A® Diet Lemonade,"Freshly prepared at each Chick-fil-A Restaurant using simple ingredients:  real lemon juice—not from concentrate, sugar, and water. Diet Lemonade is sweetened with Splenda® No Calorie Sweetener.",14.95,tucson/images/189599/GallonChick-fil-A®DietLemonade_main.jpg
189599,Build your own Family Meal,8oz Sauces,,,
189599,Entrées,Chick-fil-A® Nuggets,"Bite-sized pieces of boneless chicken breast, seasoned to perfection, freshly breaded and pressure cooked in 100% refined peanut oil. Available with choice of dipping sauce.",5.4,tucson/images/189599/Chick-fil-A®Nuggets_main.jpg
189599,Entrées,Gluten Free Bun,"A certified gluten-free bun, individually packaged to be an alternative for our guests wishing to minimize gluten in their diets.
Our recipe, enriched with vitamins and minerals, features a blend of amaranth and quinoa, all lightly sweetened with molasses and raisins.",2.2,tucson/images/189599/GlutenFreeBun_main.jpg
189599,Sides,Fruit Cup,"A nutritious fruit mix made with chopped pieces of red and green apples, mandarin orange segments, fresh strawberry slices, and blueberries, served chilled. Prepared fresh daily.",4.5,tucson/images/189599/FruitCup_main.jpg
189599,Sides,Kale Crunch Side,"A blend of Curly Kale and Green Cabbage tossed with an Apple Cider and Dijon Mustard vinaigrette, all topped off with salted, crunchy Roasted Almonds",2.7,tucson/images/189599/KaleCrunchSide_main.jpg
189599,Sides,Greek Yogurt Parfait,"Creamy, organic vanilla bean Greek yogurt with fresh berries and your choice of toppings.",5.2,tucson/images/189599/GreekYogurtParfait_main.jpg
189599,Sides,Waffle Potato Chips,Kettle-cooked waffle cut potato chips lightly sprinkled with Sea Salt.,2.45,tucson/images/189599/WafflePotatoChips_main.jpg
189599,Beverages,Freshly-Brewed Iced Tea Sweetened,Freshly-brewed each day from a blend of tea leaves. Available sweetened with real cane sugar.,2.4,tucson/images/189599/Freshly-BrewedIcedTeaSweetened_main.jpg
189599,Beverages,Freshly-Brewed Iced Tea Unsweetened,"Freshly-brewed each day from a blend of tea leaves. Available 
unsweetened.",2.4,tucson/images/189599/Freshly-BrewedIcedTeaUnsweetened_main.jpg
189599,Beverages,Chick-fil-A® Lemonade,"Classic lemonade using three simple ingredients: real lemon juice—not from concentrate, cane sugar, and water. Diet Lemonade is sweetened with Splenda® No Calorie Sweetener",2.85,tucson/images/189599/Chick-fil-A®Lemonade_main.jpg
189599,Beverages,Chick-fil-A® Diet Lemonade,"Classic lemonade using three simple ingredients: real lemon juice—not from concentrate, cane sugar, and water. Diet Lemonade is sweetened with Splenda® No Calorie Sweetener.",2.85,tucson/images/189599/Chick-fil-A®DietLemonade_main.jpg
189599,Beverages,1/2 Sweet Tea 1/2 Unsweet Tea,,2.4,tucson/images/189599/12SweetTea12UnsweetTea_main.jpg
189599,Beverages,1/2 Sweet Tea 1/2 Lemonade,,2.85,tucson/images/189599/12SweetTea12Lemonade_main.jpg
189599,Beverages,1/2 Sweet Tea 1/2 Diet Lemonade,,2.85,tucson/images/189599/12SweetTea12DietLemonade_main.jpg
189599,Beverages,1/2 Unsweet Tea 1/2 Lemonade,,2.85,tucson/images/189599/12UnsweetTea12Lemonade_main.jpg
189599,Beverages,1/2 Unsweet Tea 1/2 Diet Lemonade,,2.85,tucson/images/189599/12UnsweetTea12DietLemonade_main.jpg
189599,Beverages,1/2 Lemonade 1/2 Diet Lemonade,,2.85,tucson/images/189599/12Lemonade12DietLemonade_main.jpg
189599,Beverages,Iced Coffee,"Handcrafted daily, made with a custom blend of cold-brewed coffee and 2% milk, sweetened with pure cane sugar and served over ice. Our coffee beans are sourced by THRIVE Farmers, a farmer-direct coffee company that enriches the lives and communities of those who grow it. Available all day in Original or Vanilla.",3.7,tucson/images/189599/IcedCoffee_main.jpg
189599,Beverages,Coca-Cola®,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/Coca-Cola®_main.jpg
189599,Beverages,Diet Coke®,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/DietCoke®_main.jpg
189599,Beverages,Coke® Zero Sugar,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/Coke®ZeroSugar_main.jpg
189599,Beverages,Caffeine Free Diet Coke®,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/CaffeineFreeDietCoke®_main.jpg
189599,Beverages,Sprite®,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/Sprite®_main.jpg
189599,Beverages,Dr Pepper®,"Fountain beverage. Product of Keurig Dr Pepper, Inc.",2.4,tucson/images/189599/DrPepper®_main.jpg
189599,Beverages,Diet Dr Pepper®,"Fountain beverage. Product of Keurig Dr Pepper, Inc.",2.4,tucson/images/189599/DietDrPepper®_main.jpg
189599,Beverages,Barq's® Root Beer,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/Barq_s®RootBeer_main.jpg
189599,Beverages,Hi-C® Fruit Punch,Fountain beverage. A product of The Coca-Cola Company.,2.4,tucson/images/189599/Hi-C®FruitPunch_main.jpg
189599,Beverages,DASANI® Bottled Water,"Purified water that is carefully designed and enhanced with minerals for a pure, fresh taste. DASANI® is a registered trademark of The Coca-Cola® Company.",2.45,tucson/images/189599/DASANI®BottledWater_main.jpg
189599,Beverages,Honest Kids® Apple Juice,Honest Kids® Apple Juice (juice box with straw).,1.9,tucson/images/189599/HonestKids®AppleJuice_main.jpg
189599,Beverages,Simply Orange®,"100% pure-squeezed, pasteurized Orange Juice. ",3.35,tucson/images/189599/SimplyOrange®_main.jpg
189599,Beverages,1% Chocolate Milk,,1.9,tucson/images/189599/1%ChocolateMilk_main.jpg
189599,Beverages,1% White Milk,,1.9,tucson/images/189599/1%WhiteMilk_main.jpg
189599,Beverages,Gallon Beverages,Gallon beverage filled with your choice of tea or lemonade,14.95,tucson/images/189599/GallonBeverages_main.jpg
189599,Salads,Cobb Salad,"Chick-fil-A® Nuggets, freshly breaded and pressure-cooked, sliced and served on a fresh bed of mixed greens, topped with roasted corn kernels, a blend of shredded Monterey Jack and Cheddar cheeses, crumbled bacon, sliced hard-boiled egg and grape tomatoes. Made fresh daily. Served with Charred Tomato and Crispy Red Bell Peppers. Pairs well with Avocado Lime Ranch dressing.",11.15,tucson/images/189599/CobbSalad_main.jpg
189599,Salads,Spicy Southwest Salad,"Slices of grilled spicy chicken breast served on a fresh bed of mixed greens, topped with grape tomatoes, a blend of Monterey Jack and Cheddar cheeses, and a zesty combination of roasted corn, black beans, poblano chiles, and red bell peppers. Made fresh daily. Served with Seasoned Tortilla Strips and Chili Lime Pepitas. Pairs well with Creamy Salsa dressing.",11.4,tucson/images/189599/SpicySouthwestSalad_main.jpg
189599,Salads,Market Salad,"Sliced grilled chicken breast served on a fresh bed of mixed greens,
topped with crumbled blue cheese and a mix of red and green apples,
strawberries and blueberries. Made fresh daily. Served with Harvest Nut Granola, Roasted Nut Blend and Light Balsamic Vinaigrette dressing (or
guest’s choice of dressing).",11.4,tucson/images/189599/MarketSalad_main.jpg
189599,Treats,Frosted Lemonade,This refreshing treat is a hand-spun combination of Chick-fil-A® Lemonade (or Diet Lemonade) and our signature Icedream® dessert.,4.85,tucson/images/189599/FrostedLemonade_main.jpg
189599,Treats,Frosted Coffee,A hand-spun treat that combines a custom blend of cold-brewed coffee with our signature Icedream® dessert.,4.85,tucson/images/189599/FrostedCoffee_main.jpg
189599,Treats,Chocolate Chunk Cookie,"Cookies have both semi-sweet dark and milk chocolate chunks, along with wholesome oats.",1.9,tucson/images/189599/ChocolateChunkCookie_main.jpg
189599,Treats,Chocolate Fudge Brownie,A decadent dessert treat with rich semi-sweet chocolate melted into the batter and fudgy chunks. Available individually or in a tray.,2.6,
189599,Treats,Cookies & Cream Milkshake,"Our creamy Milkshakes are hand-spun the old-fashioned way each time and feature delicious Chick-fil-A Icedream® dessert, topped with whipped cream and a cherry (except when served via delivery).",4.85,tucson/images/189599/Cookies&CreamMilkshake_main.jpg
189599,Treats,Chocolate Milkshake,"Our creamy Milkshakes are hand-spun the old-fashioned way each time and feature delicious Chick-fil-A Icedream® dessert, topped with whipped cream and a cherry (except when served via delivery).",4.85,tucson/images/189599/ChocolateMilkshake_main.jpg
189599,Treats,Strawberry Milkshake,"Our creamy Milkshakes are hand-spun the old-fashioned way each time and feature delicious Chick-fil-A Icedream® dessert, topped with whipped cream and a cherry (except when served via delivery).",4.85,tucson/images/189599/StrawberryMilkshake_main.jpg
189599,Treats,Vanilla Milkshake,"Our creamy Milkshakes are hand-spun the old-fashioned way each time and feature delicious Chick-fil-A Icedream® dessert, topped with whipped cream and a cherry (except when served via delivery).",4.85,tucson/images/189599/VanillaMilkshake_main.jpg
189599,8oz Sauces,8oz Chick-fil-A® Sauce,"An 8-ounce, squeezable bottle of our classic dipping sauce with notes of mustard and a smoky tang.",3.25,tucson/images/189599/8ozChick-fil-A®Sauce_main.jpg
189599,8oz Sauces,8oz Polynesian Sauce,"An 8-ounce, squeezable bottle of this sweet and sour sauce with a strong, tangy flavor.",3.25,tucson/images/189599/8ozPolynesianSauce_main.jpg
189599,8oz Sauces,8oz Garden Herb Ranch Sauce,"An 8-ounce, squeezable bottle of this creamy buttermilk ranch sauce with savory garlic, onion, and herb flavors.",3.25,tucson/images/189599/8ozGardenHerbRanchSauce_main.jpg
189599,8oz Sauces,8oz Barbeque Sauce,"An 8-ounce, squeezable bottle of our classic barbeque sauce, seasoned with spices, onion and garlic for a rich and bold flavor.",3.25,tucson/images/189599/8ozBarbequeSauce_main.jpg
189599,8oz Sauces,8oz Honey Mustard Sauce,"An 8-ounce, squeezable bottle of this savory sauce with the robust flavor of mustard and spices combined with the sweetness of honey.",3.25,tucson/images/189599/8ozHoneyMustardSauce_main.jpg
207676,Popular Items,Carne Asada Fries,"Fries, cheese, sour cream, guacamole, carne asada.",9.99,tucson/images/207676/CarneAsadaFries_main.jpg
207676,Popular Items,Carne Asada Burrito,Most popular. Guacamole and pico de gallo. Any add ons will be charge extra.,8.99,tucson/images/207676/CarneAsadaBurrito_main.jpg
207676,Popular Items,Bacon Breakfast Burrito,"Bacon, egg and cheese. Any add on's will be charged extra.",6.99,tucson/images/207676/BaconBreakfastBurrito_main.jpg
207676,Popular Items,Bean and Cheese Burrito,Most popular. Any add ons will be charge extra.,5.49,
207676,Popular Items,#22. Super Nachos Combo Platter,"Chips, cheeses, sour cream, guacamole, beans, pico, carne asada. Any add on's will be charged extra.",10.49,tucson/images/207676/#22.SuperNachosComboPlatter_main.jpg
207676,Popular Items,California Burrito,"Steak, fries, pico de gallo, guacamole and cheese. Any add ons will be charged extra.",9.4,tucson/images/207676/CaliforniaBurrito_main.jpg
207676,Popular Items,3 Rolled Tacos,3 Rolled Tacos with beef. Add Rice and beans to make it a meal.,3.49,
207676,Popular Items,Chorizo Breakfast Burrito,Chorizo and egg. Any add on's will be charged extra.,6.99,
207676,Popular Items,5 Rolled Tacos with Guacamole,Rolled taco topped with guacamole and cheese. Any add on's will be charged extra.,6.99,
207676,Popular Items,Country Breakfast Burrito,"Potato, egg and cheese. Any add ons will be charged extra.",6.99,
207676,Tacos,Street Tacos,Comes with your choice of meat,1.99,tucson/images/207676/StreetTacos_main.jpg
207676,Tacos,Chicken Taco,Chicken taco with lettuce and cheese. Any add on's will be charged extra.,2.99,
207676,Tacos,Carne Asada Taco,"Steak, guacamole and pico. Any add on's will be charged extra.",3.99,
207676,Tacos,Shrimp Taco,"Pico. Cabbage, tarter sauce, any add on's will be charged extra.",3.99,
207676,Tacos,Beef Taco,Beef taco with lettuce and cheese. Any add on's will be charged extra.,2.99,
207676,Tacos,3 Rolled Tacos,3 Rolled Tacos with beef. Add Rice and beans to make it a meal.,3.49,
207676,Tacos,3 Rolled Tacos with Guacamole,3 rolled taco topped with guacamole and cheese. Any add on's will be charged extra.,4.99,
207676,Tacos,5 Rolled Tacos with Guacamole,Rolled taco topped with guacamole and cheese. Any add on's will be charged extra.,6.99,
207676,Burritos,New! Spicy Fried Chicken Burrito,"Spicy Fried Chicken Tenders, Queso, Chipotle Sauce, Sour Cream, and Lettuce",9.45,tucson/images/207676/New!SpicyFriedChickenBurrito_main.jpg
207676,Burritos,Carne Asada Burrito,Most popular. Guacamole and pico de gallo. Any add ons will be charge extra.,8.99,tucson/images/207676/CarneAsadaBurrito_main.jpg
207676,Burritos,Pollo Asado Burrito,Guacamole and pico de gallo. Any add ons will be charge extra.,6.99,tucson/images/207676/PolloAsadoBurrito_main.jpg
207676,Burritos,Bean and Cheese Burrito,Most popular. Any add ons will be charge extra.,5.49,
207676,Burritos,California Burrito,"Steak, fries, pico de gallo, guacamole and cheese. Any add ons will be charged extra.",9.4,tucson/images/207676/CaliforniaBurrito_main.jpg
207676,Burritos,Chili Relleno Burrito,"Guacamole, pico de gallo. Any add ons will be charged extra.",6.5,
207676,Burritos,Arizona Burrito,"Steak, potatoes, pico de gallo, cheeses. Any add ons will be charged extra.",7.5,tucson/images/207676/ArizonaBurrito_main.jpg
207676,Burritos,Chicken Burrito,Shredded chicken in red sauce. Any add ons will be charged extra.,6.99,
207676,Burritos,Beef Burrito,"Shredded beef, bell pepper, onion, tomatoes. Any add ons will be charged extra.",6.5,
207676,Burritos,Fish Burrito,"Pico de gallo, lettuce, tarter sauce. Any add ons will be charged extra.",6.99,
207676,Burritos,Carnitas Burrito,"Guacamole, pico de gallo. Any add ons will be charged extra.",6.5,tucson/images/207676/CarnitasBurrito_main.jpg
207676,Burritos,Veggie Burrito,"Rice, beans, guacamole, lettuce, pico de gallo. Any add ons will be charged extra.",6.25,tucson/images/207676/VeggieBurrito_main.jpg
207676,Burritos,Adobada Burrito,"Cabbage, guacamole, pico de gallo. Any add ons will be charged extra.",6.2,
207676,Burritos,Texas Burrito,"Shredded chicken, potato, sour cream, cheese. Any add ons will be charged extra.",6.99,
207676,Burritos,Green Chile Burrito,Diced pork cooked in green chili sauce. Any add ons will be charged extra.,6.5,
207676,Burritos,Fresh Fajita Burrito,"Grilled chicken, steak, guacamole, lettuce and pico de gallo. Any add ons will be charged extra.",8.2,
207676,Burritos,Shrimp Burrito,"Shrimp, lettuce, tarter sauce, rice, red sauce, pico de gallo. Any add ons will be charged extra.",8.99,
207676,Burritos,Grande Burrito,"Bacon, ham, carne asada, white cheese, pico. Any add ons will be charged extra.",9.99,
207676,Burritos,Rili Jumbo Burrito,"Steak, grilled chicken, shrimp, potatoes, red sauce, cheese, beans. Any add ons will be charged extra.",10.1,
207676,Quesadilla,Carne Asada Quesadilla,Most popular. Steak and cheese. Includes guacamole and sour cream. Any add on's will be charged extra.,8.99,
207676,Quesadilla,Cheese Quesadillas,,5.99,tucson/images/207676/CheeseQuesadillas_main.jpg
207676,Quesadilla,Pollo Asado Quesadilla,"Grilled chicken and cheese, includes guacamole and sour cream. Any add on's will be charged extra.",8.49,
207676,Quesadilla,Chicken Quesadilla,"Chicken in red sauce and cheese, includes guacamole and sour cream. Any add on's will be charged extra.",7.99,
207676,Quesadilla,Carnitas Quesadilla,Pork and cheese. Includes guacamole and sour cream. Any add on's will be charged extra.,8.49,
207676,Quesadilla,Shrimp Quesadilla,"Shrimp, red sauce and cheese, includes guacamole and sour cream. Any add on's will be charged extra.",9.99,
207676,Quesadilla,Mar y Tierra Quesadilla,Includes guacamole and sour cream.,10.99,
207676,Combination Platters,#1. Bean Tostada and Beef Tacos Combo Platter,Served with rice and beans. Any add on's will be charged extra.,8.99,
207676,Combination Platters,Fajita Family Pack,"(Feeds 10). Fajita ( Steak or Chicken), 10 flour tortilla, 24 corn tortillas, Beans, Rice, Chips and Salsa, a Pint of Fresh Guacamole, and 10 Churros.",120.0,
207676,Combination Platters,Quesadilla Family Pack,"Quesadilla Family Pack
2 Chicken Quesadilla, 2 Cheese Quesadilla, 5 Rolled Beef Tacos, 5 Churros, and Chips and Salsa. Red and green sauce are complimentary",45.0,
207676,Combination Platters,#2. Pollo Asado Combo Platter,Served with rice and beans. Any add on's will be charged extra.,8.99,
207676,Combination Platters,#3. Beef Tacos Combo Platter,2 shredded beef tacos. Served with rice and beans. Any add on's will be charged extra.,9.49,
207676,Combination Platters,#4. Enchiladas Combo Platter,"2 enchiladas, served with rice and beans. Any add on's will be charged extra.",8.99,
207676,Combination Platters,#5. Fajitas Combo Platter,Served with rice and beans. Any add on's will be charged extra.,10.99,
207676,Combination Platters,#6. Beef Burrito and Beef Tacos Combo Platter,Served with rice and beans. Any add on's will be charged extra.,9.49,
207676,Combination Platters,#7. Beef Tacos and Enchiladas Combo Platter,Served with rice and beans. Any add on's will be charged extra.,9.49,
207676,Combination Platters,8. Beef Burrito and Enchilada Combo Platter,Most popular. Served with rice and beans. Any add on's will be charged extra.,9.49,
207676,Combination Platters,#9. Carne Asada Burritos Combo Platter,"2 carne asada burritos, served with rice and beans. Any add on's will be charged extra.",12.99,
207676,Combination Platters,#10. Camerones Rancheros Combo Platter,Served with rice and beans. Any add on's will be charged extra.,12.99,
207676,Combination Platters,#11. Carnitas Combo Platter,Served with rice and beans. Any add on's will be charged extra.,9.99,
207676,Combination Platters,#12. Carne Asada Tacos Combo Platter,"2 carne asada taco, served with rice and beans. Any add on's will be charged extra.",11.99,
207676,Combination Platters,#13. Chile Rellenos Combo Platter,2 chili rellenos topped with red sauce and served with rice and beans. Any add on's will be charged extra.,8.99,
207676,Combination Platters,14. Rolled Tacos with Guacamole Combo Platter,"4 shredded beef rolled taco topped with guacamole, served with rice and beans. Any add on's will be charged extra.",9.99,
207676,Combination Platters,#15. Carne Asada Plate Combo Platter,Served with rice and beans. Any add on's will be charged extra.,11.99,
207676,Combination Platters,#16. Chicken Tacos Combo Platter,"2 chicken tacos, served with rice and beans. Any add on's will be charged extra.",9.99,
207676,Combination Platters,17. Green Chile Combo Platter,Served with rice and beans. Any add on's will be charged extra.,9.49,
207676,Combination Platters,#18. Adobada Combo Platter,Served with rice and beans. Any add on's will be charged extra.,8.99,
207676,Combination Platters,19. Chimichanga Combo Platter,Served with rice and beans. Any add on's will be charged extra.,10.99,
207676,Combination Platters,#20. Fish Tacos Platter,"2 fish taco, served with rice and beans. Any add on's will be charged extra.",9.49,
207676,Combination Platters,#21. Carne Asada Fries Combo Platter,"Most popular. Fries, cheese, sour cream, guacamole, carne asada. Any add on's will be charged extra.",10.49,tucson/images/207676/#21.CarneAsadaFriesComboPlatter_main.jpg
207676,Combination Platters,#22. Super Nachos Combo Platter,"Chips, cheeses, sour cream, guacamole, beans, pico, carne asada. Any add on's will be charged extra.",10.49,tucson/images/207676/#22.SuperNachosComboPlatter_main.jpg
207676,Shareables,California Fries,,9.99,tucson/images/207676/CaliforniaFries_main.jpg
207676,Shareables,Carne Asada Fries,"Feeds two people. Fries, cheese, sour cream, guacamole, carne asada. Any add on's will be charged extra.",9.99,tucson/images/207676/CarneAsadaFries_main.jpg
207676,Shareables,Spicy Chicken Fries,Most popular. Spicy,9.49,
207676,Shareables,Super Nachos,"Comes with chips, cheese, sour cream, guacamole, beans, pico, and carne asada. Any add on's will be charged extra.",10.49,tucson/images/207676/SuperNachos_main.jpg
207676,Breakfast Burritos,New Spicy Fried Chicken Burrito,"New spicy fried chicken tenders, queso, chipotle sauce, sour cream, and lettuce",9.45,tucson/images/207676/NewSpicyFriedChickenBurrito_main.jpg
207676,Breakfast Burritos,Plain Breakfast Burrito,"Ham, egg, cheese and pico. Any add on's will be charged extra.",6.99,
207676,Breakfast Burritos,Sausage Breakfast Burrito,"Sausage, egg and cheese. Any add ons will be charged extra.",6.99,
207676,Breakfast Burritos,Bacon Breakfast Burrito,"Bacon, egg and cheese. Any add on's will be charged extra.",6.99,tucson/images/207676/BaconBreakfastBurrito_main.jpg
207676,Breakfast Burritos,Country Breakfast Burrito,"Potato, egg and cheese. Any add ons will be charged extra.",6.99,
207676,Breakfast Burritos,Machaca Breakfast Burrito,"Shredded beef, egg, bell peppers, onion, tomato.",6.99,
207676,Breakfast Burritos,Chorizo Breakfast Burrito,Chorizo and egg. Any add on's will be charged extra.,6.99,
207676,Breakfast Burritos,Steak and Egg Breakfast Burrito,"Steak, egg and cheese. Any add ons will be charged extra.",7.99,
207676,Breakfast Grandes,Huevos Rancheros Breakfast Plate,,7.5,tucson/images/207676/HuevosRancherosBreakfastPlate_main.jpg
207676,Breakfast Grandes,Breakfast Omelette Plate,,8.99,
207676,Breakfast Grandes,Chorizo Breakfast Plate,,9.99,tucson/images/207676/ChorizoBreakfastPlate_main.jpg
207676,Breakfast Grandes,Machaca Breakfast Plate,,10.49,
207676,Breakfast Grandes,Steak Ranchero Breakfast Plate,,7.5,tucson/images/207676/SteakRancheroBreakfastPlate_main.jpg
207676,Salads,Rili Taco Salad,,8.99,
207676,Salads,Fresh Fajita Salad,"Grilled chicken, fajitas, lettuce, pico and chips. Any add on's will be charged extra.",8.99,tucson/images/207676/FreshFajitaSalad_main.jpg
207676,Salads,Rili Chicken Salad,,8.99,
207676,A la Carte,California Fries,,9.99,tucson/images/207676/CaliforniaFries_main.jpg
207676,A la Carte,Spicy Chicken Fries,Most popular. Spicy.,9.49,
207676,A la Carte,Carne Asada Fries,"Fries, cheese, sour cream, guacamole, carne asada.",9.99,tucson/images/207676/CarneAsadaFries_main.jpg
207676,A la Carte,Super Nachos,"Chips, cheese, sour cream, guacamole, beans, pico, carne asada.",11.99,tucson/images/207676/SuperNachos_main.jpg
207676,A la Carte,Chips and Guacamole,,4.99,
207676,A la Carte,Chips with Salsa,,3.49,
207676,A la Carte,Churro,,2.0,tucson/images/207676/Churro_main.jpg
207676,A la Carte,2 Chile Relleno Enchiladas,"2 Chile rellenos, guacamole, sour cream, pico de gallo and lettuce. Any add on's will be charged extra.",6.99,
207676,A la Carte,2 Cheese Enchiladas,Cheese and lettuce and red enchilada sauce. Any add on's will be charged extra.,5.99,
